Possession_Status,new_or_resale,furnishing,bathrooms,price,location,date_of_posting,facing,overlooking,area,BHK,config,flat_floor_no.,total_floors,no_of_parking,parking_type,longitude,latitude
received,Resale,Semi-Furnished,5.0,11.5,Mahalaxmi Race Course,"Jan 28, '21",East,other,2210.0,3,apartment,24,41,3,Covered,,
not received,Resale,Unfurnished,2.0,0.71,Devi Pada,"Jan 27, '21",None,main road,368.0,1,apartment,9,22,0,Open,,
not received,New Property,Unfurnished,2.0,0.61,Beverly Park,"Jan 27, '21",North - East,other,450.0,1,apartment,8,12,1,both,,
not received,New Property,Semi-Furnished,2.0,0.62,Ketki Pada,"Jan 26, '21",North - East,other,410.0,1,apartment,10,34,1,Open,,
not received,New Property,Unfurnished,2.0,0.53,Mira Road East,"Jan 27, '21",North - East,other,455.0,1,apartment,10,20,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.34,Bolinj,"Jan 27, '21",East,other,451.0,1,apartment,4,14,0,Open,,
not received,New Property,Unfurnished,2.0,0.48,Vinay Nagar,"Jan 27, '21",East,other,480.0,1,apartment,10,23,0,Open,,
not received,New Property,Unfurnished,2.0,0.59,Mira Road East,"Jan 27, '21",North - East,other,502.0,1,apartment,11,22,1,Open,,
not received,New Property,Unfurnished,2.0,1.42,Tilak Nagar - Harbour Line,"Jan 28, '21",East,other,664.0,2,apartment,10,15,1,both,,
not received,New Property,Semi-Furnished,2.0,0.62,Mira Road East,"Jan 27, '21",East,main road,520.0,1,apartment,4,13,0,Open,,
not received,New Property,Unfurnished,2.0,1.16,Akurli Nagar,"Jan 28, '21",East,main road,448.0,1,apartment,20,50,1,Covered,,
not received,New Property,Unfurnished,2.0,0.75,Mira Road East,"Jan 26, '21",East,other,650.0,2,apartment,9,14,0,Open,,
not received,New Property,Semi-Furnished,2.0,0.5,Mira Road East,"Jan 27, '21",North - East,other,450.0,1,apartment,3,12,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.55,Vinay Nagar,"Jan 28, '21",East,other,455.0,1,apartment,18,33,1,both,,
not received,New Property,Furnished,2.0,0.58,Vinay Nagar,"Jan 26, '21",East,other,525.0,1,apartment,10,16,1,Open,,
not received,New Property,Unfurnished,2.0,0.79,Akurli Nagar,"Jan 27, '21",East,other,395.0,1,apartment,18,27,1,Covered,,
not received,New Property,Unfurnished,2.0,0.55,Vinay Nagar,"Jan 27, '21",North - East,main road,410.0,1,apartment,7,13,1,Open,,
not received,New Property,Unfurnished,2.0,1.35,Kandarpada,"Jan 27, '21",North - East,other,753.0,2,apartment,10,20,1,Covered,,
not received,New Property,Semi-Furnished,1.0,0.61,Mira Road East,"Jan 27, '21",North - East,other,458.0,1,apartment,9,16,1,Open,,
not received,New Property,Furnished,2.0,0.4,Tirupati Nagar,"Jan 27, '21",West,other,450.0,1,apartment,1,14,1,Open,,
not received,Resale,Unfurnished,3.0,3.45,Datta Pada,"Jan 27, '21",North - East,other,1043.0,3,apartment,20,63,2,Covered,,
not received,New Property,Unfurnished,2.0,0.54,Vinay Nagar,"Jan 27, '21",North - East,other,424.0,1,apartment,7,22,1,Open,,
not received,New Property,Unfurnished,2.0,1.6,Crompton Greaves,"Jan 28, '21",East,other,732.0,2,other,4,6,4,Covered,,
not received,New Property,Semi-Furnished,2.0,0.54,Vinay Nagar,"Jan 26, '21",North - East,other,470.0,1,apartment,10,23,1,Open,,
not received,New Property,Semi-Furnished,2.0,1.5,Crompton Greaves,"Jan 28, '21",East,other,645.0,2,apartment,25,50,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.51,Vinay Nagar,"Jan 26, '21",East,other,440.0,1,apartment,11,22,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.57,Ramdev Park,"Jan 26, '21",North - East,other,450.0,1,apartment,11,20,1,Covered,78.40604619375797,17.48551535
not received,New Property,Unfurnished,1.0,0.37,Bolinj,"Jan 28, '21",East,other,447.0,1,apartment,5,20,1,Covered,,
not received,New Property,Unfurnished,2.0,0.86,Yeshwant Nagar,"Jan 27, '21",North - East,other,390.0,1,apartment,20,34,0,Open,,
not received,New Property,Semi-Furnished,2.0,0.75,Vinay Nagar,"Jan 28, '21",North - West,other,710.0,2,apartment,3,23,0,Open,,
not received,New Property,Furnished,2.0,1.3,Sardar Nagar No 1,"Jan 27, '21",West,main road,610.0,2,apartment,16,22,1,Covered,78.4307965,17.4629766
not received,New Property,Semi-Furnished,2.0,0.85,Mira Road East,"Jan 26, '21",North - East,other,735.0,2,apartment,9,12,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.65,Vinay Nagar,"Jan 28, '21",North - East,other,575.0,2,apartment,4,4,1,both,,
not received,New Property,Semi-Furnished,2.0,0.71,Vinay Nagar,"Jan 26, '21",North,other,550.0,2,apartment,9,23,1,both,,
not received,New Property,Semi-Furnished,2.0,0.56,Ramdev Park,"Jan 27, '21",East,other,450.0,1,apartment,10,12,1,Covered,78.40604619375797,17.48551535
not received,New Property,Unfurnished,2.0,0.54,Vinay Nagar,"Jan 27, '21",East,main road,396.0,1,apartment,7,14,0,Open,,
not received,New Property,Semi-Furnished,2.0,0.78,Vinay Nagar,"Jan 26, '21",North - East,other,666.0,2,apartment,7,16,1,Covered,,
not received,New Property,Unfurnished,3.0,1.19,Vinay Nagar,"Jan 28, '21",North - West,other,900.0,3,apartment,16,23,1,Open,,
not received,Resale,Unfurnished,3.0,3.0,Datta Pada,"Jan 27, '21",North,other,1042.0,3,apartment,32,63,2,Covered,,
not received,New Property,Semi-Furnished,2.0,0.74,Vinay Nagar,"Jan 28, '21",North - East,other,708.0,2,apartment,14,23,1,Open,,
not received,New Property,Unfurnished,2.0,1.33,Yeshwant Nagar,"Jan 28, '21",West,other,600.0,2,apartment,20,34,1,Covered,,
not received,New Property,Unfurnished,2.0,1.65,Mahatama Gandhi Road,"Jan 27, '21",East,other,658.0,2,apartment,10,14,1,Covered,,
not received,New Property,Unfurnished,1.0,0.83,Crompton Greaves,"Jan 28, '21",East,other,353.0,1,apartment,24,50,1,Covered,,
not received,Resale,Unfurnished,2.0,0.99,Kokani Pada,"Jan 26, '21",East,main road,317.0,1,apartment,31,35,1,Covered,,
not received,New Property,Unfurnished,2.0,1.99,Kanch Pada,"Jan 28, '21",East,main road,808.0,2,apartment,20,58,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.6,Ketki Pada,"Jan 28, '21",North - East,other,398.0,1,apartment,25,37,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.5,Mira Road East,"Jan 27, '21",East,other,470.0,1,apartment,7,14,1,Open,,
not received,New Property,Unfurnished,2.0,0.49,Vinay Nagar,"Jan 26, '21",North - East,other,425.0,1,apartment,4,23,1,Open,,
not received,New Property,Unfurnished,2.0,0.75,Beverly Park,"Jan 27, '21",North - West,main road,650.0,2,apartment,14,14,1,Open,,
not received,New Property,Unfurnished,2.0,0.49,Vinay Nagar,"Jan 26, '21",East,other,500.0,1,apartment,5,23,1,Covered,,
not received,New Property,Unfurnished,2.0,0.22,Nilemore,"Jan 28, '21",East,other,380.0,1,apartment,12,15,1,Open,,
not received,New Property,Unfurnished,3.0,4.6,Shree Siddhivinayak Mandir Chowk,"Jan 27, '21",North - East,other,1099.0,3,apartment,28,40,1,Covered,,
not received,New Property,Semi-Furnished,1.0,0.45,Navi Mumbai-Khargar-Panvel,"Jan 26, '21",North - East,other,438.0,1,apartment,12,37,1,Covered,,
received,Resale,Furnished,4.0,12.0,JVPD Scheme,"Jan 26, '21",East,main road,1900.0,4,apartment,3,6,2,Covered,,
received,Resale,Semi-Furnished,3.0,2.6,Kokani Pada,"Jan 27, '21",East,other,1162.0,3,apartment,5,55,2,Covered,,
received,Resale,Unfurnished,2.0,1.35,Jankalyan Nagar,"Jan 26, '21",East,main road,680.0,2,apartment,3,10,1,Open,,
received,Resale,Unfurnished,2.0,2.8,SV Patel Nagar,"Jan 26, '21",East,main road,980.0,3,apartment,12,15,1,Covered,,
received,Resale,Semi-Furnished,3.0,4.2,Yeshodham,"Jan 26, '21",East,other,1100.0,3,apartment,17,46,1,Covered,,
received,Resale,Semi-Furnished,3.0,3.0,Best Nagar - Goregaon West,"Jan 26, '21",North - East,other,1257.0,3,apartment,17,44,2,Covered,,
received,Resale,Furnished,2.0,1.55,Jankalyan Nagar,"Jan 27, '21",North - East,other,657.0,2,apartment,8,22,1,Covered,,
received,Resale,Unfurnished,3.0,1.8,Jankalyan Nagar,"Jan 27, '21",East,other,780.0,3,apartment,16,23,0,Open,,
received,Resale,Semi-Furnished,4.0,0.73,Bolinj,"Jan 26, '21",South,other,825.0,2,apartment,4,7,1,Open,,
received,Resale,Semi-Furnished,2.0,2.0,Jyoti building chembur,"Jan 21, '21",None,main road,508.0,1,apartment,1,2,0,Open,,
received,Resale,Unfurnished,3.0,3.15,SD Group Epsilon,"Jan 20, '21",North - East,other,1470.0,3,apartment,2,45,0,Open,,
received,Resale,Unfurnished,1.0,0.42,Palava city,"Jan 19, '21",East,other,435.0,1,apartment,10,14,1,Open,,
received,Resale,Furnished,2.0,0.85,Sankalp sahniwas,"Jan 16, '21",North,main road,400.0,1,apartment,4,6,0,Open,,
received,Resale,Furnished,2.0,0.43,Bhiwendi,"Jan 26, '21",North - East,other,630.0,2,apartment,2,7,1,Open,,
received,New Property,Semi-Furnished,2.0,0.86,Tulsheth Pada,"Jan 22, '21",North - West,other,431.0,1,apartment,2,15,0,Open,,
received,Resale,Semi-Furnished,2.0,1.85,Crompton Greaves,"Jan 19, '21",None,main road,751.0,2,apartment,16,21,0,Open,,
received,Resale,Unfurnished,6.0,1.7,Rugmini sandesh,"Jan 28, '21",None,main road,1600.0,6,apartment,1,2,0,Open,,
received,Resale,Unfurnished,1.0,0.29,Jankalyan Nagar,"Jan 26, '21",West,main road,180.0,1,Studio,5,7,0,Open,,
not received,New Property,Unfurnished,2.0,1.12,Rifle Range,"Jan 19, '21",North - West,main road,491.0,1,apartment,3,12,1,Open,,
not received,New Property,Unfurnished,2.0,2.45,Samta Nagar,"Jan 28, '21",East,other,764.0,2,apartment,30,45,1,Covered,,
received,Resale,Unfurnished,1.0,1.5,sanghmitra society,"Jan 16, '21",None,main road,650.0,1,apartment,1,7,0,Open,,
received,Resale,Furnished,1.0,0.65,Nahur Gaothan,"Jan 22, '21",None,main road,270.0,1,apartment,1,4,0,Open,,
received,Resale,Semi-Furnished,2.0,1.7,Gopal Bhavan,"Jan 06, '21",West,main road,473.0,1,apartment,1,3,1,Open,,
received,Resale,Unfurnished,2.0,2.1,kanakia zen,"Jan 12, '21",None,other,880.0,2,apartment,20,22,0,Open,,
received,Resale,Furnished,2.0,0.27,new green chs bolinj sopara road,"Jan 15, '21",East,main road,450.0,1,apartment,3,3,0,Open,,
received,Resale,Furnished,2.0,1.15,Ashok Vihar CHS ltd,"Jan 18, '21",None,main road,842.0,1,apartment,6,7,0,Open,,
received,Resale,Furnished,1.0,0.97,Madhu Kunj Dahisar West,"Jan 17, '21",None,main road,518.0,1,apartment,8,8,1,Covered,,
received,New Property,Unfurnished,2.0,0.37,Boisar - Palghar Road,"Jan 11, '21",North - West,main road,1113.0,2,apartment,1,3,0,Open,,
received,Resale,Furnished,4.0,4.96,Shree Siddhivinayak Mandir Chowk,"Jan 26, '21",East,other,640.0,3,apartment,7,20,1,Covered,,
received,Resale,Unfurnished,2.0,0.38,Ambernath,"Jan 06, '21",North - East,main road,620.0,1,apartment,2,3,1,Open,,
received,Resale,Furnished,2.0,2.5,shraddha kunj co-operative housing society,"Nov 20, '20",South -West,main road,840.0,2,apartment,5,7,0,Open,,
received,Resale,Furnished,2.0,3.25,queens view Juhu Tara Road,"Jan 24, '21",None,main road,938.0,2,apartment,6,6,0,Open,,
received,Resale,Furnished,3.0,1.2,beeramguda mumbai,"Oct 06, '20",None,main road,543.0,3,apartment,2,2,0,Open,,
received,Resale,Furnished,2.0,2.05,SBI Employees Aparna,"Jan 03, '21",East,main road,655.0,2,apartment,11,12,0,Open,,
received,Resale,Furnished,2.0,1.5,Gorai Matru Ashish,"Jan 16, '21",South - East,main road,225.0,2,apartment,4,9,1,Open,,
received,Resale,Furnished,3.0,4.25,Shantikamal chsl,"Jan 16, '21",East,main road,461.0,3,apartment,4,23,1,Open,,
received,Resale,Semi-Furnished,1.0,1.85,Giri Residency,"Jan 11, '21",East,other,500.0,1,apartment,5,7,1,Open,,
received,Resale,Semi-Furnished,2.0,1.6,Gondavali Gaothan,"Jan 22, '21",East,other,865.0,1,apartment,5,6,3,Open,,
received,Resale,Unfurnished,4.0,4.5,Dadiseth Wadi,"Jan 17, '21",South - East,other,733.0,3,apartment,3,7,0,Open,,
received,Resale,Unfurnished,2.0,2.6,santacruz mansion,"Jan 16, '21",North,main road,677.0,2,apartment,2,2,0,Open,,
received,Resale,Unfurnished,1.0,0.32,Sai Sansar Heights,"Jan 06, '21",East,other,370.0,1,apartment,2,7,0,Open,,
not received,Resale,Unfurnished,2.0,0.92,Marvel Gold Petra,"Jan 09, '21",None,main road,480.0,1,apartment,18,22,0,Open,,
received,Resale,Semi-Furnished,2.0,1.0,Deen Dayal Nagar,"Jan 28, '21",East,main road,740.0,1,apartment,2,4,2,Open,,
received,Resale,Furnished,2.0,2.5,Hrishikesh apartment,"Jan 12, '21",East,main road,527.0,1,apartment,14,19,1,Open,,
received,Resale,Furnished,2.0,1.0,sakivihar complex,"Jan 28, '21",East,other,275.0,1,apartment,2,7,1,Open,,
received,Resale,Semi-Furnished,1.0,1.6,sai krupa hsg soc,"Jan 20, '21",South - East,main road,1190.0,1,apartment,1,3,1,Open,,
received,Resale,Semi-Furnished,2.0,0.89,Tilak Nagar - Harbour Line,"Jan 28, '21",North,main road,1691.0,1,apartment,1,7,1,Open,,
received,Resale,Furnished,4.0,3.6,Chiku Wadi,"Jan 28, '21",East,main road,665.0,4,apartment,1,7,1,both,,
received,Resale,Unfurnished,2.0,2.15,Sunteck City,"Jan 26, '21",None,main road,10508.0,2,apartment,14,40,0,Open,,
received,Resale,Semi-Furnished,3.0,3.15,SV Patel Nagar,"Jan 16, '21",West,other,850.0,3,apartment,2,7,1,Open,,
received,Resale,Semi-Furnished,2.0,1.6,shraddha co-op hsg soc til,"Jan 09, '21",None,main road,350.0,2,apartment,6,13,0,Open,,
received,Resale,Furnished,1.0,0.8,Rajendra Kutir,"Jan 09, '21",South -West,main road,640.0,1,apartment,2,8,1,Covered,,
received,Resale,Unfurnished,2.0,0.68,NG Park,"Jan 10, '21",None,main road,512.0,1,apartment,3,7,0,Open,-58.4372241,-34.5835458
received,Resale,Semi-Furnished,4.0,1.6,Navi Mumbai-Khargar-Panvel,"Jan 17, '21",North - East,main road,397.0,3,Penthouse,8,9,0,Open,,
received,Resale,Semi-Furnished,3.0,2.75,Kokani Pada,"Jan 25, '21",East,other,380.0,3,apartment,16,55,1,Covered,,
received,Resale,Unfurnished,2.0,1.5,Crompton Greaves,"Jan 21, '21",North - East,other,1950.0,2,apartment,19,22,0,Open,,
not received,Resale,Semi-Furnished,2.0,1.12,Crompton Greaves,"Jan 04, '21",None,main road,1100.0,1,apartment,17,22,1,Covered,,
received,Resale,Semi-Furnished,2.0,1.15,Tilak Nagar - Harbour Line,"Dec 30, '20",East,main road,480.0,1,apartment,1,7,1,Open,,
received,Resale,Semi-Furnished,1.0,1.2,Tilak Nagar - Harbour Line,"Jan 12, '21",East,main road,572.0,1,apartment,3,6,0,Open,,
received,Resale,Semi-Furnished,2.0,1.75,Evershine Nagar,"Nov 10, '20",North - East,main road,740.0,2,apartment,5,15,0,Open,,
received,Resale,Semi-Furnished,2.0,0.72,Kon Panvel,"Oct 04, '20",None,main road,283.0,2,apartment,10,32,0,Open,,
received,Resale,Unfurnished,1.0,1.1,Tarun Bharat Society,"Jan 07, '21",North,other,315.0,1,apartment,1,4,0,Open,,
received,Resale,Unfurnished,2.0,1.4,Akurli Nagar,"Dec 31, '20",East,main road,304.0,2,apartment,6,13,1,Covered,,
received,Resale,Furnished,3.0,0.96,Ulhasnagar,"Jan 24, '21",East,other,636.0,3,other,6,6,1,Covered,,
received,Resale,Furnished,2.0,3.75,Kalpataru Harmony,"Jan 03, '21",East,other,656.0,2,apartment,8,10,0,Open,,
received,Resale,Semi-Furnished,2.0,0.95,Dattani Nagar,"Dec 14, '20",None,other,225.0,1,apartment,3,4,2,Open,,
received,Resale,Semi-Furnished,2.0,0.48,Satyam sheela,"Dec 20, '20",None,main road,308.0,3,apartment,3,8,0,Open,,
received,Resale,Furnished,2.0,5.0,Jain Chowk,"Jan 26, '21",East,main road,215.0,2,apartment,1,3,0,Open,,
received,Resale,Furnished,2.0,1.5,Chikuwadi,"Jan 14, '21",North - East,other,655.0,2,apartment,2,4,1,Open,,
received,New Property,Unfurnished,3.0,2.15,Mira Road East,"Jan 27, '21",South - East,other,720.0,3,apartment,10,22,0,Open,,
received,Resale,Unfurnished,2.0,0.62,Ramdev Park,"Jan 26, '21",North - East,main road,285.0,1,apartment,10,11,1,Open,78.40604619375797,17.48551535
received,Resale,Furnished,3.0,3.3,Chiku Wadi,"Jan 28, '21",East,other,225.0,3,apartment,10,24,1,Covered,,
received,New Property,Unfurnished,6.0,14.0,CAMA Industrial Estate,"Jan 22, '21",East,other,865.0,5,apartment,35,41,4,Covered,,
received,Resale,Semi-Furnished,2.0,2.15,Central Area,"Jan 26, '21",East,other,875.0,2,Apartment,9,20,2,Covered,-3.6370906,40.4427341
received,Resale,Unfurnished,2.0,1.91,MTNL Colony,"Jan 28, '21",East,main road,715.0,2,Apartment,10,19,1,Covered,,
received,New Property,Unfurnished,3.0,1.85,Jankalyan Nagar,"Jan 27, '21",East,main road,927.0,3,Apartment,9,23,1,Covered,,
received,Resale,Semi-Furnished,3.0,5.0,Pirojshah Nagar,"Jan 27, '21",North - East,other,1112.0,3,Apartment,8,16,1,Covered,,
received,Resale,Semi-Furnished,5.0,11.5,Mahalaxmi Race Course,"Jan 28, '21",East,other,2210.0,3,Apartment,24,41,3,Covered,,
not received,Resale,Unfurnished,2.0,0.71,Devi Pada,"Jan 27, '21",None,main road,368.0,1,Apartment,9,22,0,Open,,
not received,New Property,Unfurnished,2.0,0.61,Beverly Park,"Jan 27, '21",North - East,other,450.0,1,Apartment,8,12,1,both,,
not received,New Property,Semi-Furnished,2.0,0.62,Ketki Pada,"Jan 26, '21",North - East,other,410.0,1,Apartment,10,34,1,Open,,
not received,New Property,Unfurnished,2.0,0.53,Mira Road East,"Jan 27, '21",North - East,other,455.0,1,Apartment,10,20,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.34,Bolinj,"Jan 27, '21",East,other,451.0,1,Apartment,4,14,0,Open,,
not received,New Property,Unfurnished,2.0,0.48,Vinay Nagar,"Jan 27, '21",East,other,480.0,1,Apartment,10,23,0,Open,,
not received,New Property,Unfurnished,2.0,0.59,Mira Road East,"Jan 27, '21",North - East,other,502.0,1,Apartment,11,22,1,Open,,
not received,New Property,Unfurnished,2.0,1.42,Tilak Nagar - Harbour Line,"Jan 28, '21",East,other,664.0,2,Apartment,10,15,1,both,,
not received,New Property,Semi-Furnished,2.0,0.62,Mira Road East,"Jan 27, '21",East,main road,520.0,1,Apartment,4,13,0,Open,,
not received,New Property,Unfurnished,2.0,1.16,Akurli Nagar,"Jan 28, '21",East,main road,448.0,1,Apartment,20,50,1,Covered,,
not received,New Property,Unfurnished,2.0,0.75,Mira Road East,"Jan 26, '21",East,other,650.0,2,Apartment,9,14,0,Open,,
not received,New Property,Semi-Furnished,2.0,0.5,Mira Road East,"Jan 27, '21",North - East,other,450.0,1,Apartment,3,12,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.55,Vinay Nagar,"Jan 28, '21",East,other,455.0,1,Apartment,18,33,1,both,,
not received,New Property,Furnished,2.0,0.58,Vinay Nagar,"Jan 26, '21",East,other,525.0,1,Apartment,10,16,1,Open,,
not received,New Property,Unfurnished,2.0,0.79,Akurli Nagar,"Jan 27, '21",East,other,395.0,1,Apartment,18,27,1,Covered,,
not received,New Property,Unfurnished,2.0,0.55,Vinay Nagar,"Jan 27, '21",North - East,main road,410.0,1,Apartment,7,13,1,Open,,
not received,New Property,Unfurnished,2.0,1.35,Kandarpada,"Jan 27, '21",North - East,other,753.0,2,Apartment,10,20,1,Covered,,
not received,New Property,Semi-Furnished,1.0,0.61,Mira Road East,"Jan 27, '21",North - East,other,458.0,1,Apartment,9,16,1,Open,,
not received,New Property,Furnished,2.0,0.4,Tirupati Nagar,"Jan 27, '21",West,other,450.0,1,Apartment,1,14,1,Open,,
not received,Resale,Unfurnished,3.0,3.45,Datta Pada,"Jan 27, '21",North - East,other,1043.0,3,Apartment,20,63,2,Covered,,
not received,New Property,Unfurnished,2.0,0.54,Vinay Nagar,"Jan 27, '21",North - East,other,424.0,1,Apartment,7,22,1,Open,,
not received,New Property,Unfurnished,2.0,1.6,Crompton Greaves,"Jan 28, '21",East,other,732.0,2,Builder Floor,4,6,4,Covered,,
not received,New Property,Semi-Furnished,2.0,0.54,Vinay Nagar,"Jan 26, '21",North - East,other,470.0,1,Apartment,10,23,1,Open,,
not received,New Property,Semi-Furnished,2.0,1.5,Crompton Greaves,"Jan 28, '21",East,other,645.0,2,Apartment,25,50,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.51,Vinay Nagar,"Jan 26, '21",East,other,440.0,1,Apartment,11,22,1,Open,,
not received,New Property,Unfurnished,1.0,0.37,Bolinj,"Jan 28, '21",East,other,447.0,1,Apartment,5,20,1,Covered,,
not received,New Property,Unfurnished,2.0,0.86,Yeshwant Nagar,"Jan 27, '21",North - East,other,390.0,1,Apartment,20,34,0,Open,,
not received,New Property,Semi-Furnished,2.0,0.75,Vinay Nagar,"Jan 28, '21",North - West,other,710.0,2,Apartment,3,23,0,Open,,
not received,New Property,Semi-Furnished,2.0,0.85,Mira Road East,"Jan 26, '21",North - East,other,735.0,2,Apartment,9,12,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.65,Vinay Nagar,"Jan 28, '21",North - East,other,575.0,2,Apartment,4,4,1,both,,
not received,New Property,Semi-Furnished,2.0,0.71,Vinay Nagar,"Jan 26, '21",North,other,550.0,2,Apartment,9,23,1,both,,
not received,New Property,Unfurnished,2.0,0.54,Vinay Nagar,"Jan 27, '21",East,main road,396.0,1,Apartment,7,14,0,Open,,
not received,New Property,Semi-Furnished,2.0,0.78,Vinay Nagar,"Jan 26, '21",North - East,other,666.0,2,Apartment,7,16,1,Covered,,
not received,New Property,Unfurnished,3.0,1.19,Vinay Nagar,"Jan 28, '21",North - West,other,900.0,3,Apartment,16,23,1,Open,,
not received,Resale,Unfurnished,3.0,3.0,Datta Pada,"Jan 27, '21",North,other,1042.0,3,Apartment,32,63,2,Covered,,
not received,New Property,Semi-Furnished,2.0,0.74,Vinay Nagar,"Jan 28, '21",North - East,other,708.0,2,Apartment,14,23,1,Open,,
not received,New Property,Unfurnished,2.0,1.33,Yeshwant Nagar,"Jan 28, '21",West,other,600.0,2,Apartment,20,34,1,Covered,,
not received,New Property,Unfurnished,2.0,1.65,Mahatama Gandhi Road,"Jan 27, '21",East,other,658.0,2,Apartment,10,14,1,Covered,,
not received,New Property,Unfurnished,1.0,0.83,Crompton Greaves,"Jan 28, '21",East,other,353.0,1,Apartment,24,50,1,Covered,,
not received,Resale,Unfurnished,2.0,0.99,Kokani Pada,"Jan 26, '21",East,main road,317.0,1,Apartment,31,35,1,Covered,,
not received,New Property,Unfurnished,2.0,1.99,Kanch Pada,"Jan 28, '21",East,main road,808.0,2,Apartment,20,58,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.6,Ketki Pada,"Jan 28, '21",North - East,other,398.0,1,Apartment,25,37,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.5,Mira Road East,"Jan 27, '21",East,other,470.0,1,Apartment,7,14,1,Open,,
not received,New Property,Unfurnished,2.0,0.49,Vinay Nagar,"Jan 26, '21",North - East,other,425.0,1,Apartment,4,23,1,Open,,
received,Resale,Unfurnished,4.0,4.5,Juhu Vile Parle Development Scheme,"Jan 14, '21",North - West,main road,1050.0,3,Apartment,1,15,1,Covered,,
not received,New Property,Unfurnished,2.0,0.75,Beverly Park,"Jan 27, '21",North - West,main road,650.0,2,Apartment,14,14,1,Open,,
not received,New Property,Unfurnished,2.0,0.49,Vinay Nagar,"Jan 26, '21",East,other,500.0,1,Apartment,5,23,1,Covered,,
not received,New Property,Unfurnished,2.0,0.22,Nilemore,"Jan 28, '21",East,other,380.0,1,Apartment,12,15,1,Open,,
not received,New Property,Unfurnished,3.0,4.6,Shree Siddhivinayak Mandir Chowk,"Jan 27, '21",North - East,other,1099.0,3,Apartment,28,40,1,Covered,,
not received,New Property,Semi-Furnished,1.0,0.45,Navi Mumbai-Khargar-Panvel,"Jan 26, '21",North - East,other,438.0,1,Apartment,12,37,1,Covered,,
received,Resale,Furnished,4.0,12.0,JVPD Scheme,"Jan 26, '21",East,main road,1900.0,4,Apartment,3,6,2,Covered,,
received,Resale,Semi-Furnished,3.0,2.6,Kokani Pada,"Jan 27, '21",East,other,1162.0,3,Apartment,5,55,2,Covered,,
received,Resale,Unfurnished,2.0,1.35,Jankalyan Nagar,"Jan 26, '21",East,main road,680.0,2,Apartment,3,10,1,Open,,
received,Resale,Unfurnished,2.0,2.8,SV Patel Nagar,"Jan 26, '21",East,main road,980.0,3,Apartment,12,15,1,Covered,,
received,Resale,Semi-Furnished,3.0,4.2,Yeshodham,"Jan 26, '21",East,other,1100.0,3,Apartment,17,46,1,Covered,,
received,Resale,Semi-Furnished,3.0,3.0,Best Nagar - Goregaon West,"Jan 26, '21",North - East,other,1257.0,3,Apartment,17,44,2,Covered,,
received,Resale,Furnished,2.0,1.55,Jankalyan Nagar,"Jan 27, '21",North - East,other,657.0,2,Apartment,8,22,1,Covered,,
received,Resale,Unfurnished,3.0,1.8,Jankalyan Nagar,"Jan 27, '21",East,other,780.0,3,Apartment,16,23,0,Open,,
received,Resale,Semi-Furnished,1.0,1.05,Laxmi Ratan Co.Op.Scy.,"Jan 19, '21",North,main road,204.0,1,Apartment,1,3,0,Open,,
received,Resale,Semi-Furnished,4.0,0.73,Bolinj,"Jan 26, '21",South,other,825.0,2,Apartment,4,7,1,Open,,
received,Resale,Semi-Furnished,1.0,2.7,Konkan Nagar,"Jan 22, '21",West,main road,605.0,2,Apartment,4,4,0,Open,,
received,Resale,Unfurnished,1.0,0.9,Sambhav Darshan,"Jan 19, '21",East,main road,300.0,1,Apartment,2,3,0,Open,,
received,Resale,Semi-Furnished,2.0,2.0,Jyoti building chembur,"Jan 21, '21",None,main road,508.0,1,Apartment,1,2,0,Open,,
received,Resale,Unfurnished,3.0,3.15,SD Group Epsilon,"Jan 20, '21",North - East,other,1470.0,3,Apartment,2,45,0,Open,,
received,Resale,Unfurnished,1.0,0.42,Palava city,"Jan 19, '21",East,other,435.0,1,Apartment,10,14,1,Open,,
received,Resale,Furnished,2.0,0.85,Sankalp sahniwas,"Jan 16, '21",North,main road,400.0,1,Apartment,4,6,0,Open,,
received,Resale,Furnished,2.0,0.43,Bhiwendi,"Jan 26, '21",North - East,other,630.0,2,Apartment,2,7,1,Open,,
received,Resale,Unfurnished,2.0,2.6,nuemec niwara society,"Jan 22, '21",East,main road,660.0,2,Apartment,1,7,0,Open,,
received,New Property,Semi-Furnished,2.0,0.86,Tulsheth Pada,"Jan 22, '21",North - West,other,431.0,1,Apartment,2,15,0,Open,,
received,Resale,Furnished,1.0,1.1,Heather CHS,"Jan 23, '21",East,other,477.0,1,Apartment,1,2,0,Open,,
received,Resale,Semi-Furnished,2.0,1.85,Crompton Greaves,"Jan 19, '21",None,main road,751.0,2,Apartment,16,21,0,Open,,
